TIME;TIME;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Belgium;Internet use: consulting wikis (to obtain knowledge on any subject);31;:;37;:;43;:;:;:;:;:
Belgium;Internet use: reading online news sites/newspapers/news magazines;:;:;:;53;52;56;56;:;59;65
Belgium;Internet use: playing/downloading games, images, films or music;:;51;:;55;:;:;:;:;:;:
Belgium;Internet use: listening to web radios and/or watching web TV;:;27;:;:;:;:;:;:;:;:
Belgium;Internet use: seeking health information;35;:;43;:;47;49;52;46;49;51
Belgium;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;62;:;65;:;72
Bulgaria;Internet use: looking for information about education, training or course offers;22;:;22;:;20;:;:;:;:;:
Bulgaria;Internet use: sending/receiving e-mails;:;42;43;44;44;43;45;40;40;43
Bulgaria;Internet use: telephoning or video calls;26;40;34;46;47;48;54;54;58;59
Bulgaria;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);30;:;37;40;42;45;50;51;53;55
Bulgaria;Internet use: finding information about goods and services;28;36;35;41;35;38;39;43;38;50
Bulgaria;Internet use: consulting wikis (to obtain knowledge on any subject);15;:;12;:;24;:;:;:;:;:
Bulgaria;Internet use: reading online news sites/newspapers/news magazines;:;:;38;41;40;41;47;:;45;41
Bulgaria;Internet use: playing/downloading games, images, films or music;:;30;:;32;:;:;:;:;:;:
Bulgaria;Internet use: listening to web radios and/or watching web TV;:;26;:;:;:;:;:;:;:;:
Bulgaria;Internet use: seeking health information;24;:;27;:;28;24;34;25;30;29
Bulgaria;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;38;:;42;:;43
Czechia;Internet use: looking for information about education, training or course offers;12;:;12;:;21;:;:;:;:;:
Czechia;Internet use: sending/receiving e-mails;:;69;70;74;76;77;79;80;82;83
Czechia;Internet use: telephoning or video calls;34;40;39;36;33;33;36;42;45;52
